"2014-09-30", "2014-11-03", 0.41 
"2014-12-31", "2015-02-09", 0.59 
"2015-03-31", "2015-05-04", 0.27 
"2015-06-30", "2015-08-03", 0.45 
"2015-09-30", "2015-11-02", 0.58 
"2015-12-31", "2016-02-08", -0.02 
"2016-03-31", "2016-05-02", 0.57 
"2016-06-30", "2016-08-01", 0.59 
"2016-09-30", "2016-10-31", 0.89 
"2016-12-31", "2017-02-06", 0.72 
"2017-03-31", "2017-05-01", 0.81 
"2017-06-30", "2017-07-31", 0.61 
"2017-09-30", "2017-10-30", 0.43 
"2017-12-31", "2018-02-12", 0.83 
"2018-03-31", "2018-04-30", 0.87 
"2018-06-30", "2018-07-30", 0.72 
"2018-09-30", "2018-11-05", 0.85 
"2018-12-31", "2019-02-11", -0.28 
"2019-03-31", "2019-04-29", 1.20 
"2019-06-30", "2019-08-05", 0.82 
"2019-09-30", "2019-10-28", 0.22 
