"2014-09-30", "NaN-NaN-NaN", 3.85 
"2014-12-31", "2015-01-29 ", -6.15 
"2015-03-31", "2015-04-30 ", 2.17 
"2015-06-30", "2015-07-22 ", 0.32 
"2015-09-30", "2015-10-23 ", -11.64 
"2015-12-31", "2016-01-28 ", 1.18 
"2016-03-31", "NaN-NaN-NaN", 1.42 
"2016-06-30", "2016-07-28 ", 0.67 
"2016-09-30", "2016-10-27 ", 1.37 
"2016-12-31", "2017-01-26 ", -0.22 
"2017-03-31", "2017-04-27 ", 3.09 
"2017-06-30", "2017-07-27 ", 1.90 
"2017-09-30", "2017-11-02 ", -2.19 
"2017-12-31", "2018-01-26 ", 2.38 
"2018-03-31", "2018-04-26 ", 3.37 
"2018-06-30", "2018-07-26 ", 0.89 
"2018-09-30", "2018-10-25 ", 2.61 
"2018-12-31", "2019-01-30 ", 2.22 
"2019-03-31", "2019-04-25 ", 3.08 
"2019-06-30", "2019-07-25 ", 3.42 
"2019-09-30", "2019-10-30 ", 2.78 
